Square Feet,Price,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image,Price/Sqft,Price Category
2400.0,895000,98092,Auburn,WA,11225 SE 327th St,3.0,3.0,https://www.redfin.com/WA/Auburn/11225-SE-327th-St-98092/home/407459,https://ssl.cdn-redfin.com/system_files/media/969271_JPG/genDesktopMapHomeCardUrl/item_40.jpg,372.9166666666667,Medium-High
2913.0,785000,98092,Auburn,WA,1221 68th Loop SE,4.0,4.0,https://www.redfin.com/WA/Auburn/1221-68th-Loop-SE-98092/home/3007931,https://ssl.cdn-redfin.com/photo/1/islphoto/231/genIslnoResize.2302231_1.jpg,269.48163405423963,Medium-low
2230.0,720000,98001,Auburn,WA,28229 46th St S,3.0,3.0,https://www.redfin.com/WA/Auburn/28229-46th-Ave-S-98001/home/209468,https://ssl.cdn-redfin.com/photo/1/islphoto/242/genIslnoResize.2294242_0.jpg,322.86995515695065,Medium-low
3380.0,752000,98003,Federal Way,WA,37707 30th Pl S,5.0,5.0,https://www.redfin.com/WA/Federal-Way/37707-30th-Pl-S-98003/home/109660282,https://ssl.cdn-redfin.com/photo/1/islphoto/674/genIslnoResize.2303674_0.jpg,222.4852071005917,Medium-low
3930.0,1099999,98092,Auburn,WA,11401 SE 326th Pl,5.0,5.0,https://www.redfin.com/WA/Auburn/11401-SE-326th-Pl-98092/home/406149,https://ssl.cdn-redfin.com/system_files/media/1003421_JPG/genDesktopMapHomeCardUrl/item_23.jpg,279.8979643765903,Medium-High
904.0,295000,98002,Auburn,WA,1101 37th St SE 804,2.0,2.0,https://www.redfin.com/WA/Auburn/1101-37th-St-SE-98002/unit-804/home/40389,https://ssl.cdn-redfin.com/photo/1/islphoto/281/genIslnoResize.2302281_0.jpg,326.3274336283186,Low
3581.0,940000,98092,Auburn,WA,6303 Montevista Dr SE,5.0,5.0,https://www.redfin.com/WA/Auburn/6303-Montevista-Dr-SE-98092/home/3036897,https://ssl.cdn-redfin.com/system_files/media/1003015_JPG/genDesktopMapHomeCardUrl/item_69.jpg,262.4965093549288,Medium-High
1848.0,194999,98092,Auburn,WA,31600 126th Ave SE 47,4.0,4.0,https://www.redfin.com/WA/Auburn/31600-126th-Ave-SE-98092/unit-47/home/21909276,https://ssl.cdn-redfin.com/photo/1/islphoto/290/genIslnoResize.2301290_0.jpg,105.51893939393939,Low
2110.0,660000,98001,Auburn,WA,29665 57th Pl S,4.0,4.0,https://www.redfin.com/WA/Auburn/29665-57th-Pl-S-98001/home/209772,https://ssl.cdn-redfin.com/photo/1/islphoto/324/genIslnoResize.2299324_0.jpg,312.7962085308057,Medium-low
1530.0,515000,98002,Auburn,WA,706 Cedar Dr SE,3.0,3.0,https://www.redfin.com/WA/Auburn/706-Cedar-Dr-SE-98002/home/213964,https://ssl.cdn-redfin.com/photo/1/islphoto/186/genIslnoResize.2296186_2.jpg,336.60130718954247,Low
904.0,233000,98002,Auburn,WA,3428 I St NE Unit S102,1.0,1.0,https://www.redfin.com/WA/Auburn/3428-I-St-NE-98002/unit-S102/home/191479181,https://ssl.cdn-redfin.com/photo/1/islphoto/445/genIslnoResize.2300445_0.jpg,257.7433628318584,Low
1440.0,130000,98002,Auburn,WA,1402 22nd St NE 79,2.0,2.0,https://www.redfin.com/WA/Auburn/1402-22nd-St-NE-98002/unit-79/home/40200199,https://ssl.cdn-redfin.com/photo/1/islphoto/537/genIslnoResize.2294537_0.jpg,90.27777777777777,Low
1828.0,597000,98092,Auburn,WA,6622 FRANCIS Ave SE,3.0,3.0,https://www.redfin.com/WA/Auburn/6622-Francis-Ave-SE-98092/home/17090898,https://ssl.cdn-redfin.com/photo/1/islphoto/013/genIslnoResize.2301013_0.jpg,326.58643326039385,Medium-low
2520.0,709000,98002,Auburn,WA,2400 E Main St,3.0,3.0,https://www.redfin.com/WA/Auburn/2400-E-Main-St-98002/home/218676,https://ssl.cdn-redfin.com/photo/1/islphoto/460/genIslnoResize.2300460_0.jpg,281.3492063492063,Medium-low
960.0,399950,98092,Auburn,WA,31826 118TH Pl SE,3.0,3.0,https://www.redfin.com/WA/Auburn/31826-118th-Pl-SE-98092/home/406784,https://ssl.cdn-redfin.com/photo/1/islphoto/351/genIslnoResize.2299351_1.jpg,416.6145833333333,Low
1440.0,189000,98002,Auburn,WA,3611 I St NE 407,3.0,3.0,https://www.redfin.com/WA/Auburn/3611-I-St-NE-98002/unit-407/home/193045196,https://ssl.cdn-redfin.com/photo/1/islphoto/891/genIslnoResize.2300891_0.jpg,131.25,Low
2370.0,915000,98092,Auburn,WA,33308 206th Pl SE,3.0,3.0,https://www.redfin.com/WA/Auburn/33308-206th-Pl-SE-98092/home/383331,https://ssl.cdn-redfin.com/photo/1/islphoto/763/genIslnoResize.2300763_0.jpg,386.0759493670886,Medium-High
1890.0,725000,98001,Auburn,WA,36004 50th Ave S,3.0,3.0,https://www.redfin.com/WA/Auburn/36004-50th-Ave-S-98001/home/365136,https://ssl.cdn-redfin.com/system_files/media/999421_JPG/genDesktopMapHomeCardUrl/item_1.jpg,383.5978835978836,Medium-low
