Square Feet,Price,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image
2565,809950,98092,Auburn,WA,Plan 2565 Modeled Plan,4,4,https://www.redfin.com/WA/Auburn/Auburn/Plan-2565-Modeled/home/192385554,https://ssl.cdn-redfin.com/photo/595/islphoto/F1C/genIslnoResize.95926B585F1C_1.jpg
3858,1250000,98092,Auburn,WA,4458 Joyce Ct SE,4,4,https://www.redfin.com/WA/Auburn/4458-Joyce-Ct-SE-98092/home/172716717,https://ssl.cdn-redfin.com/photo/1/islphoto/858/genIslnoResize.2286858_1.jpg
2313,635000,98092,Auburn,WA,6131 Elizabeth Ave SE,4,4,https://www.redfin.com/WA/Auburn/6131-Elizabeth-Ave-SE-98092/home/23093786,https://ssl.cdn-redfin.com/photo/1/islphoto/776/genIslnoResize.2285776_0.jpg
1630,637500,98002,Auburn,WA,2605 Riverwalk Dr SE,3,3,https://www.redfin.com/WA/Auburn/2605-Riverwalk-Dr-SE-98002/home/214031,https://ssl.cdn-redfin.com/system_files/media/983511_JPG/genDesktopMapHomeCardUrl/item_2.jpg
2741,824990,98001,Auburn,WA,4569 S 328th Ct,5,5,https://www.redfin.com/WA/Auburn/4569-S-328th-Ct-98001/home/188727134,https://ssl.cdn-redfin.com/photo/595/islphoto/897/genIslnoResize.A9396C4A9897_0.jpg
2070,935000,98092,Auburn,WA,19403 SE 332nd Pl,4,4,https://www.redfin.com/WA/Auburn/19403-SE-332nd-Pl-98092/home/381506,https://ssl.cdn-redfin.com/photo/1/islphoto/370/genIslnoResize.2285370_0.jpg
1600,595000,98002,Auburn,WA,1612 2nd St NE,3,3,https://www.redfin.com/WA/Auburn/1612-2nd-St-NE-98002/home/218026,https://ssl.cdn-redfin.com/photo/1/islphoto/098/genIslnoResize.2283098_0.jpg
1727,515000,98092,Auburn,WA,1110 63rd St SE 102,2,2,https://www.redfin.com/WA/Auburn/1110-63rd-St-SE-98092/unit-102/home/3033347,https://ssl.cdn-redfin.com/photo/1/islphoto/074/genIslnoResize.2283074_0.jpg
1586,525000,98002,Auburn,WA,1014 6t St SE,4,4,https://www.redfin.com/WA/Auburn/1014-6th-St-SE-98002/home/213100,https://ssl.cdn-redfin.com/photo/1/islphoto/442/genIslnoResize.2281442_1.jpg
2603,875125,98001,Auburn,WA,5888 S 294th St,5,5,https://www.redfin.com/WA/Auburn/5888-S-294th-St-98001/home/192222055,https://ssl.cdn-redfin.com/photo/1/islphoto/754/genIslnoResize.2281754_2.jpg
2700,699950,98092,Auburn,WA,6113 Olive Ave SE,4,4,https://www.redfin.com/WA/Auburn/6113-Olive-Ave-SE-98092/home/2953939,https://ssl.cdn-redfin.com/photo/1/islphoto/122/genIslnoResize.2274122_0.jpg
1530,449999,98002,Auburn,WA,102 J St SE,3,3,https://www.redfin.com/WA/Auburn/102-J-St-SE-98002/home/218049,https://ssl.cdn-redfin.com/photo/1/islphoto/452/genIslnoResize.2267452_0.jpg
2880,639950,98002,Auburn,WA,940 SE 25th St,3,3,https://www.redfin.com/WA/Auburn/940-25th-St-SE-98002/home/213340,https://ssl.cdn-redfin.com/photo/1/islphoto/548/genIslnoResize.2274548_0.jpg
1365,399999,98092,Auburn,WA,31900 104th Ave SE Unit A203,3,3,https://www.redfin.com/WA/Auburn/31900-104th-Ave-SE-98092/unit-A203/home/52963,https://ssl.cdn-redfin.com/photo/1/islphoto/017/genIslnoResize.2281017_0.jpg
2305,859950,98002,Auburn,WA,2901 B St SE,4,4,https://www.redfin.com/WA/Auburn/2901-B-St-SE-98002/home/168854202,https://ssl.cdn-redfin.com/photo/1/islphoto/011/genIslnoResize.2277011_0.jpg
1000,129000,98092,Auburn,WA,4205 Auburn Way S 73,3,3,https://www.redfin.com/WA/Auburn/4205-Auburn-Way-S-98092/unit-73/home/189963840,https://ssl.cdn-redfin.com/photo/1/islphoto/303/genIslnoResize.2279303_2.jpg
5880,2299950,98092,Auburn,WA,5036 Katherine Ave SE,4,4,https://www.redfin.com/WA/Auburn/5036-Katherine-Ave-SE-98092/home/215353,https://ssl.cdn-redfin.com/photo/1/islphoto/962/genIslnoResize.2279962_0.jpg
4000,1150000,98002,Auburn,WA,2220 O St NE,12,12,https://www.redfin.com/WA/Auburn/2220-O-St-NE-98002/home/2061135,https://ssl.cdn-redfin.com/photo/1/islphoto/446/genIslnoResize.2269446_0.jpg
2448,749990,98001,Auburn,WA,4563 S 328th Ct 15,5,5,https://www.redfin.com/WA/Auburn/4563-S-328th-Ct-98001/unit-15/home/192065150,https://ssl.cdn-redfin.com/photo/1/islphoto/888/genIslnoResize.2277888_5.jpg
1150,148500,98092,Auburn,WA,31600 126th Ave SE 156,3,3,https://www.redfin.com/WA/Auburn/31600-126th-Ave-SE-98092/unit-156/home/144359787,https://ssl.cdn-redfin.com/photo/1/islphoto/950/genIslnoResize.2278950_0.jpg
1848,120000,98002,Auburn,WA,210 37th St SE 81,3,3,https://www.redfin.com/WA/Auburn/210-37th-St-SE-98002/unit-81/home/192097422,https://ssl.cdn-redfin.com/photo/1/islphoto/655/genIslnoResize.2278655_0.jpg
2120,680000,98001,Auburn,WA,29104 55th Ave S,3,3,https://www.redfin.com/WA/Auburn/29104-55th-Ave-S-98001/home/209828,https://ssl.cdn-redfin.com/system_files/media/966375_JPG/genDesktopMapHomeCardUrl/item_4.jpg
3696,1150000,98002,Auburn,WA,2502 I St NE,,,https://www.redfin.com/WA/Auburn/2502-I-St-NE-98002/home/2071717,https://ssl.cdn-redfin.com/photo/1/islphoto/541/genIslnoResize.2277541_0.jpg
3696,1150000,98002,Auburn,WA,2510 I St NE,,,https://www.redfin.com/WA/Auburn/2510-I-St-NE-98002/home/2062126,https://ssl.cdn-redfin.com/photo/1/islphoto/545/genIslnoResize.2277545_0.jpg
2170,960000,98092,Auburn,WA,19223 SE Green Valley Rd,3,3,https://www.redfin.com/WA/Auburn/19223-SE-Green-Valley-Rd-98092/home/2067724,https://ssl.cdn-redfin.com/photo/1/islphoto/992/genIslnoResize.2276992_2.jpg
1460,357000,98001,Auburn,WA,34906 Military Rd S,3,3,https://www.redfin.com/WA/Auburn/34906-Military-Rd-S-98001/home/365086,https://ssl.cdn-redfin.com/photo/1/islphoto/248/genIslnoResize.2277248_0.jpg
2741,774990,98001,Auburn,WA,4569 S 328th Ct 14,5,5,https://www.redfin.com/WA/Auburn/4569-S-328th-Ct-98001/unit-14/home/192065075,https://ssl.cdn-redfin.com/photo/1/islphoto/887/genIslnoResize.2277887_3.jpg
1673,409990,98092,Auburn,WA,4712 Mill Pond Dr SE 1101,3,3,https://www.redfin.com/WA/Auburn/4712-Mill-Pond-Dr-SE-98092/unit-1101/home/192053874,https://ssl.cdn-redfin.com/photo/1/islphoto/233/genIslnoResize.2277233_3.jpg
3124,1099000,98002,Auburn,WA,2302 I St NE,3,3,https://www.redfin.com/WA/Auburn/2302-I-St-NE-98002/home/2089803,https://ssl.cdn-redfin.com/photo/1/islphoto/575/genIslnoResize.2276575_0.jpg
2800,760000,98092,Auburn,WA,31037 119th Ave SE,4,4,https://www.redfin.com/WA/Auburn/31037-119th-Ave-SE-98092/home/407778,https://ssl.cdn-redfin.com/photo/1/islphoto/493/genIslnoResize.2274493_0.jpg
2810,719950,98092,Auburn,WA,30015 108th Ave SE,5,5,https://www.redfin.com/WA/Auburn/30015-108th-Ave-SE-98092/home/404698,https://ssl.cdn-redfin.com/photo/1/islphoto/321/genIslnoResize.2261321_F.jpg
2267,699999,98092,Auburn,WA,29322 120th Ave SE,5,5,https://www.redfin.com/WA/Auburn/29322-120th-Ave-SE-98092/home/22494933,https://ssl.cdn-redfin.com/photo/1/islphoto/235/genIslnoResize.2272235_0.jpg
3858,1490000,98092,Auburn,WA,12673 SE 287th Ct,4,4,https://www.redfin.com/WA/Auburn/12673-SE-287th-Ct-98092/home/176359867,https://ssl.cdn-redfin.com/system_files/media/965966_JPG/genDesktopMapHomeCardUrl/item_85.jpg
3250,898500,98001,Auburn,WA,910 Pike St NW,4,4,https://www.redfin.com/WA/Auburn/910-Pike-St-NW-98001/home/344759,https://ssl.cdn-redfin.com/photo/1/islphoto/153/genIslnoResize.2272153_0.jpg
6407,1895000,98092,Auburn,WA,33416 135th Pl SE,5,5,https://www.redfin.com/WA/Auburn/33416-135th-Pl-SE-98092/home/380999,https://ssl.cdn-redfin.com/photo/1/islphoto/026/genIslnoResize.2271026_0.jpg
1405,368990,98092,Auburn,WA,4724 Mill Pond Dr SE 703,2,2,https://www.redfin.com/WA/Auburn/4724-Mill-Pond-Dr-SE-98092/unit-703/home/11463,https://ssl.cdn-redfin.com/photo/1/islphoto/366/genIslnoResize.2269366_0.jpg
2400,699950,98001,Auburn,WA,3415 S 368th Pl,3,3,https://www.redfin.com/WA/Auburn/3415-S-368th-Pl-98001/home/362073,https://ssl.cdn-redfin.com/photo/1/islphoto/309/genIslnoResize.2259309_0.jpg
1961,746950,98001,Auburn,WA,29357 58th Ct S,4,4,https://www.redfin.com/WA/Auburn/29357-58th-Ct-S-98001/home/190338920,https://ssl.cdn-redfin.com/photo/595/islphoto/E5B/genIslnoResize.C81D12F81E5B_0.jpg
1961,739950,98001,Auburn,WA,The Scarlet Plan,4,4,https://www.redfin.com/WA/Auburn/Auburn/The-Scarlet/home/191795172,https://ssl.cdn-redfin.com/photo/595/islphoto/41A/genIslnoResize.692A70F0F41A_0.jpg
2414,794950,98001,Auburn,WA,The Lacey Plan,5,5,https://www.redfin.com/WA/Auburn/Auburn/The-Lacey/home/191795171,https://ssl.cdn-redfin.com/photo/595/islphoto/E04/genIslnoResize.F8EE0BC34E04_0.jpg
2039,765950,98001,Auburn,WA,29341 58th Ct S,4,4,https://www.redfin.com/WA/Auburn/29341-58th-Ct-S-98001/home/187897752,https://ssl.cdn-redfin.com/photo/595/islphoto/BF5/genIslnoResize.A4817FA78BF5_0.jpg
2603,820950,98001,Auburn,WA,The Sterling Plan,4,4,https://www.redfin.com/WA/Auburn/Auburn/The-Sterling/home/191795169,https://ssl.cdn-redfin.com/photo/595/islphoto/0BC/genIslnoResize.4D9EE99A60BC_0.jpg
2039,754950,98001,Auburn,WA,The Richmond Plan,4,4,https://www.redfin.com/WA/Auburn/Auburn/The-Richmond/home/191795170,https://ssl.cdn-redfin.com/photo/595/islphoto/038/genIslnoResize.3F4A9F2BF038_0.jpg
2414,819950,98001,Auburn,WA,29344 58th Ct S,5,5,https://www.redfin.com/WA/Auburn/29344-58th-Ave-S-98001/home/188797164,https://ssl.cdn-redfin.com/photo/595/islphoto/553/genIslnoResize.D1366B0A4553_0.jpg
1000,279950,98002,Auburn,WA,2131 E St NE 306,0,0,https://www.redfin.com/WA/Auburn/2131-E-St-NE-98001/unit-306/home/192456206,https://ssl.cdn-redfin.com/photo/1/islphoto/271/genIslnoResize.2239271_0.jpg
5450,2400000,98092,Auburn,WA,34210 206th Ave SE,6,6,https://www.redfin.com/WA/Auburn/34210-206th-Ave-SE-98092/home/381243,https://ssl.cdn-redfin.com/photo/1/islphoto/445/genIslnoResize.2265445_0.jpg
2220,799000,98002,Auburn,WA,306 17th St SE,,,https://www.redfin.com/WA/Auburn/306-17th-St-SE-98002/home/213109,https://ssl.cdn-redfin.com/photo/1/islphoto/160/genIslnoResize.2265160_0.jpg
